x,mND1,mND2,mND3,mND4,mND5,mND6,mND7,mND8,mND9,mND10,mHFD1,mHFD2,mHFD3,mHFD4,mHFD5,mHFD6,mHFD7,mHFD8,mHFD9,mHFD10
OTU395,1,1,0,0,1,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0
OTU396,0,1,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0
OTU397,0,1,1,5,0,0,0,6,2,0,0,1,1,0,0,0,0,0,0,1
OTU398,0,0,0,1,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0
OTU399,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,2,0,0,0,0
OTU4,543,135,153,302,689,418,125,78,296,337,0,0,0,0,0,0,0,0,0,0
OTU40,2,30,31,9,33,31,30,34,21,21,14,5,12,0,3,11,18,15,5,15
OTU400,0,0,0,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
OTU41,1,5,1,1,5,5,0,6,6,3,22,2,14,38,1,9,1,19,2,8
OTU42,2,0,46,5,0,0,7,0,0,34,0,0,0,0,0,0,0,0,0,0
OTU43,0,0,0,0,0,0,0,0,0,0,0,163,0,0,1,0,6,0,1,0
OTU44,1,0,0,12,9,14,0,0,67,0,0,0,0,0,0,0,0,0,0,0
OTU45,28,105,13,229,4,86,10,177,195,15,3,0,7,2,0,88,12,2,5,13
OTU46,7,5,6,24,12,2,8,12,7,47,0,0,3,0,0,0,7,0,0,0
OTU47,2,10,30,22,18,2,137,28,34,5,0,0,0,0,0,0,0,0,0,0
OTU48,1,10,0,24,3,15,2,18,17,1,34,77,90,11,33,43,88,325,55,171
OTU49,0,4,0,2,0,13,0,3,42,1,0,0,1,0,2,31,50,0,1,5
OTU5,17,14,224,17,203,132,14,19,330,23,6,13,147,0,0,3,61,0,1,13
OTU50,3,4,3,9,1,5,0,3,1,3,19,13,17,21,23,37,38,27,15,7
OTU51,0,0,0,1,0,0,0,6,1,0,33,21,43,27,1,7,11,4,0,0
