name,log2FC,pvalue,Status
peak61738,-1.195280272,0.054118982,Stable
peak52551,-1.1950008,0.003851799,Loss
peak62745,-1.194995758,0.083165464,Stable
peak18526,-1.192464452,0.013595213,Loss
peak19457,-1.191975136,0.010411373,Loss
peak12301,-1.191860087,0.059487542,Stable
peak34015,-1.191851519,0.046996151,Loss
peak23308,-1.191825007,0.066765846,Stable
peak36780,-1.1915317,0.03286692,Loss
peak45383,-1.191175555,0.045713772,Loss
peak15368,-1.191145474,0.076875287,Stable
peak17149,-1.191145474,0.076875287,Stable
peak45166,-1.190989791,0.102561719,Stable
peak29473,-1.19085609,0.082162837,Stable
peak944,-1.190799292,0.006912184,Loss
peak62765,-1.19071656,0.007016431,Loss
peak14477,-1.190229039,0.009294352,Loss
peak70894,-1.18932531,0.015087817,Loss
peak16758,-1.187872448,0.04122402,Loss
peak38836,-1.187845519,0.033223319,Loss
peak19211,-1.187691703,0.059283634,Stable
peak690,-1.186617132,0.0270024,Loss
peak61826,-1.186473201,0.027601403,Loss
peak40395,-1.186469209,0.069782824,Stable
peak12013,-1.186410342,0.002586588,Loss
peak4636,-1.185661709,0.095272577,Stable
peak36108,-1.185631159,0.033041182,Loss
peak1731,-1.185470467,0.007691388,Loss
peak67542,-1.185384249,0.098164656,Stable
peak36085,-1.185132252,0.009030392,Loss
peak22727,-1.184817015,0.005034708,Loss
peak49500,-1.18439674,0.041573076,Loss
peak69100,-1.183026251,0.000669986,Loss
peak46506,-1.182519289,0.151817719,Stable
peak42491,-1.182356933,0.049177546,Loss
peak25932,-1.182299481,0.063569083,Stable
peak71172,-1.182299481,0.063569083,Stable
peak12836,-1.181158791,0.017085883,Loss
peak15021,-1.181103185,0.017599083,Loss
peak51390,-1.179872127,0.071659141,Stable
peak30945,-1.179810605,0.062502472,Stable
peak55751,-1.179466214,0.040954044,Loss
peak31829,-1.179259455,0.103599191,Stable
peak55973,-1.179053057,0.001261914,Loss
peak58475,-1.178831458,0.0645438,Stable
peak74628,-1.178061432,0.065575109,Stable
peak29833,-1.177976342,0.083014641,Stable
peak31767,-1.17650404,0.060600663,Stable
peak61318,-1.176494922,0.057054651,Stable
peak11521,-1.176470343,0.011445072,Loss
peak54289,-1.17585062,0.001785768,Loss
peak57840,-1.17559294,0.068796334,Stable
peak22742,-1.175279938,0.066537406,Stable
peak61049,-1.175248618,0.082309343,Stable
peak28585,-1.175012691,0.040667526,Loss
peak70965,-1.174901365,0.050769772,Stable
peak19673,-1.174838105,0.039158872,Loss
peak39563,-1.17470234,0.054003282,Stable
peak27435,-1.174421669,0.060408153,Stable
peak46917,-1.173955572,0.031857085,Loss
peak9198,-1.173429986,0.005841536,Loss
peak14342,-1.173288843,0.00512815,Loss
peak48347,-1.172996277,0.380237554,Stable
peak36233,-1.172659303,0.088881492,Stable
peak38852,-1.172537526,0.01174828,Loss
peak28625,-1.172276692,0.078299592,Stable
peak946,-1.17227124,0.000657006,Loss
peak19252,-1.171248876,0.050688548,Stable
peak74715,-1.171086127,0.016061532,Loss
peak66443,-1.170837924,0.004164988,Loss
peak17637,-1.1705802,0.048933458,Loss
peak55098,-1.17057473,0.071117109,Stable
peak5631,-1.170210989,0.089951983,Stable
peak5680,-1.169997479,0.061628784,Stable
peak58176,-1.169903721,0.048211236,Loss
peak23562,-1.168863813,0.27902953,Stable
peak63258,-1.168783136,0.051024403,Stable
peak19402,-1.168715271,0.085750249,Stable
peak73352,-1.168480545,0.057783096,Stable
peak29225,-1.168310509,0.100804633,Stable
peak38564,-1.168155612,0.002161416,Loss
peak2556,-1.166757723,0.019250313,Loss
peak5385,-1.166616182,0.089674569,Stable
peak10193,-1.165732817,0.005194259,Loss
