x,norm_foldChange,logFC,pvalue,pvalue.adj.FDR,State
Gm16287,0.821831989,-0.283084608,0.798577021,0.964998213,NA
Ssc5d,0.821831989,-0.283084608,0.772492597,0.947627965,NA
Lpcat2,0.821831989,-0.283084608,0.750076748,0.927654197,NA
Gprin1,0.821831989,-0.283084608,0.707955807,0.89299125,NA
Ccdc149,0.821831989,-0.283084608,0.625528757,0.836475803,NA
Col27a1,0.821831989,-0.283084608,0.23545362,0.399292199,NA
Pcnx2,0.821831989,-0.283084608,0.23521178,0.398970497,NA
Pbx4,0.821831989,-0.283084608,0.225242512,0.386750054,NA
Zfp235,0.821831989,-0.283084608,0.218267942,0.376736447,NA
0610040B10Rik,0.821545736,-0.283587202,0.037223194,0.078185308,NA
Psmc3ip,0.821231892,-0.28413844,0.164047471,0.294792617,NA
Nptxr,0.821103414,-0.284364161,0.341947506,0.542019676,NA
Mtrr,0.820704647,-0.285064973,0.131304354,0.2418269,NA
Itga5,0.820704647,-0.285064973,0.095254147,0.182200497,NA
Eif3j2,0.82010907,-0.286112301,0.356038149,0.560313975,NA
Mill2,0.820029725,-0.286251888,0.542605546,0.758136303,NA
Slc39a9,0.819995903,-0.286311394,0.040635772,0.084643239,NA
Cped1,0.81994272,-0.286404967,0.776694179,0.951542965,NA
Fam221a,0.81994272,-0.286404967,0.557432065,0.773561635,NA
Gm47512,0.819846887,-0.286573595,0.861670901,0.97968698,NA
Rcan1,0.81978763,-0.286677873,0.093867631,0.179844018,NA
Dph2,0.819536369,-0.287120122,0.259327341,0.431166032,NA
Osgin2,0.819490587,-0.287200717,0.067471563,0.134521513,NA
Rnf40,0.819426627,-0.287313322,0.024627356,0.053610017,NA
Chek1,0.819259745,-0.287607167,0.132420472,0.243791696,NA
Gm39469,0.819202126,-0.287708635,0.075029318,0.148038098,NA
Rasgrp4,0.819172338,-0.287761096,0.565700556,0.781800223,NA
Efcab1,0.818870432,-0.288292899,0.556229605,0.772109609,NA
Colca2,0.818627965,-0.288720143,0.576113452,0.792427659,NA
Xpnpep3,0.818627965,-0.288720143,0.151269329,0.274707313,NA
Lrig1,0.818418356,-0.289089591,0.450326248,0.681118881,NA
4930415O20Rik,0.818179402,-0.289510878,0.945683116,0.999994095,NA
Nek8,0.818000604,-0.289826186,0.113187506,0.212797721,NA
Emcn,0.8178034,-0.290174033,0.902616042,0.999994095,NA
Arid3b,0.8178034,-0.290174033,0.385810426,0.59996084,NA
Gucd1,0.817687031,-0.290379336,0.041718039,0.086740852,NA
AC174678.1,0.817660253,-0.290426584,0.343762534,0.544460404,NA
Gm16861,0.817341103,-0.290989807,0.752258849,0.929725388,NA
Gm26797,0.817341103,-0.290989807,0.684196638,0.875374762,NA
Ovca2,0.817341103,-0.290989807,0.347421543,0.549339744,NA
Gm33195,0.817208461,-0.291223953,0.690724157,0.878764568,NA
Gm10643,0.817162489,-0.291305115,0.649848804,0.844688155,NA
Depdc1a,0.816758952,-0.292017733,0.614116836,0.832484613,NA
Ascl2,0.816758952,-0.292017733,0.524273021,0.753937838,NA
E330009J07Rik,0.816353109,-0.292734779,0.212999359,0.368639836,NA
Mthfd2,0.816311707,-0.292807948,0.127237802,0.235059601,NA
Inpp4b,0.816003393,-0.293352944,0.968047104,0.999994095,NA
Adam12,0.816003393,-0.293352944,0.944593681,0.999994095,NA
Ccdc105,0.816003393,-0.293352944,0.892240035,0.997494689,NA
Zc3h12a,0.816003393,-0.293352944,0.503275205,0.729201648,NA
Satb2,0.816003393,-0.293352944,0.112677256,0.211920658,NA
Zfp566,0.815777978,-0.293751534,0.087919881,0.170129227,NA
Camp,0.815675944,-0.293931991,0.34778812,0.549705299,NA
Zfp11,0.815534425,-0.294182317,0.624755485,0.836475803,NA
Aph1c,0.815461198,-0.294311864,0.174598006,0.309370795,NA
Eya3,0.815431428,-0.294364533,0.033382506,0.070885867,NA
Fras1,0.815350363,-0.294507964,0.028803111,0.061809388,NA
